Region;HOSPITAL_BEDS_2016
Adygey;109,7
Altay;124,5
Amur;130,4
Arkhangel'sk;113
Astrakhan';130,2
Bashkortostan;107
Belgorod;120,3
Bryansk;125,1
Buryat;99,5
Chechnya;127,5
Chelyabinsk;118,8
Chukot;185,8
Chuvash;111,3
City of St. Petersburg;103,1
Dagestan;80,9
Gorno-Altay;127,5
Ingush;41,6
Irkutsk;121
Ivanovo;135,9
Kabardin-Balkar;116,6
Kaliningrad;112,6
Kalmyk;132,6
Kaluga;114,3
Kamchatka;153,2
Karachay-Cherkess;102,4
Karelia;116,3
Kemerovo;96
Khabarovsk;106,2
Khakass;109,4
Khanty-Mansiy;100,2
Kirov;157,5
Komi;142,8
Kostroma;145,4
Krasnodar;105,7
Krasnoyarsk;114,7
Kurgan;127,5
Kursk;112,4
Leningrad;97
Lipetsk;131,5
Magadan;142,8
Mariy-El;120,1
Mordovia;130,4
Moscow City;123,1
Moskva;101,5
Murmansk;104,6
Nenets;112,7
Nizhegorod;120,8
North Ossetia;127,5
Novgorod;129,2
Novosibirsk;122,5
Omsk;112,5
Orel;115,7
Orenburg;127,6
Penza;104,1
Perm';118,7
Primor'ye;100,6
Pskov;124,3
Rostov;104,7
Ryazan';129,1
Sakha;146,2
Sakhalin;135,6
Samara;86,3
Saratov;108,9
Smolensk;130,7
Stavropol';91,6
Sverdlovsk;109,5
Tambov;121,8
Tatarstan;112,3
Tomsk;118,2
Tula;142,6
Tuva;159
Tver';121,6
Tyumen';107,5
Udmurt;131,7
Ul'yanovsk;95,5
Vladimir;115,7
Volgograd;125,4
Vologda;117,3
Voronezh;110,1
Yamal-Nenets;118,7
Yaroslavl';124
Yevrey;127
Zabaykal'ye;84,7
Yevrey;127;
